Finland	2137,00	9341,00	7197,00	6037,00	3701,00	3502,00	4263,00	6786,00	9577,00	8098,00	-4577,00	-4883,00	-2056,00	-4362,00	-5315,00	-6546,00	-5696,00	
Belgium	16807,10	17213,60	17370,70	15956,40	15232,20	14352,80	13574,50	13371,90	13722,40	14032,30	13337,80	13170,70	13637,90	13967,30	13199,70	12730,70	11885,70	
Germany (until 1990 former territory of the FRG)	62791,00	66390,00	65510,00	65099,00	64623,00	63221,00	63118,00	64684,00	66994,00	68469,00	64962,00	63850,00	67500,00	63085,00	56010,00	51477,00	48549,00	
Ireland	2189,90	2107,30	1757,00	1788,20	1769,70	1709,20	1737,40	1846,30	1979,20	2397,60	3411,50	4920,60	5888,20	7156,80	7666,50	7485,20	6747,10	
Greece	10610,80	9797,50	9566,00	9103,00	8761,00	9269,00	9353,00	9623,00	10469,00	11653,00	11972,00	13239,00	15067,00	9743,00	7275,00	7181,00	6703,00	
Spain	20316,00	20424,00	20690,00	19693,00	18468,00	17101,00	16220,00	16100,00	16892,00	17256,00	18348,00	20248,00	26315,00	30922,00	34669,00	35291,00	33122,00	
France	41099,00	41715,20	44608,10	45608,80	44823,30	45807,80	46469,90	46752,10	50968,30	56154,70	46522,00	47667,00	54402,00	53851,00	48188,00	46403,00	44112,00	
Italy	74956,00	75964,00	79045,00	73420,00	69144,00	66723,00	67175,00	68869,00	76660,00	80461,00	69457,00	68836,00	76416,00	83566,00	77568,00	74340,00	68440,00	
Luxembourg	90,30	86,90	85,00	79,40	70,90	60,00	66,50	83,70	117,50	144,90	148,80	166,20	201,50	208,30	200,80	190,00	189,00	
Netherlands	16071,00	14808,00	13806,00	12783,00	12036,00	12138,00	11800,00	11623,00	11998,00	12995,00	12494,00	11162,00	11295,00	10606,00	9907,00	9551,00	8211,00	
Austria	7004,10	7606,60	7953,10	7809,80	7373,10	7283,20	8180,70	8390,40	8892,30	8643,50	9038,90	8546,60	8615,40	8621,80	8397,70	8127,70	7933,40	
Portugal	3523,00	3864,10	4060,40	4045,40	3884,90	3893,80	4046,30	4599,10	5174,00	5556,20	5218,40	5268,10	7604,40	8214,40	8258,30	8502,30	8191,70	
Finland	3680,00	3699,00	3693,00	3013,00	2755,00	2686,00	2653,00	2581,00	2650,00	2713,00	2414,00	2497,00	2745,00	2840,00	2560,00	2544,00	2521,00	
Belgium	279435,10	280864,70	285964,20	288020,30	285780,70	288324,80	294744,80	297387,00	299972,60	327611,60	347259,00	364042,80	387966,40	403392,20	413040,30	426706,60	434186,40	
Germany (until 1990 former territory of the FRG)	1238152,40	1243594,30	1255209,30	1308331,70	1396891,30	1468849,70	1539491,30	1587525,60	1596963,60	1663237,20	1781986,90	2089945,80	2116831,80	2193258,10	2177829,60	2177735,30	2152942,90	
Ireland	43212,90	39094,10	40524,20	41538,50	43555,90	44055,80	44379,30	43692,30	47147,80	79604,70	104667,40	144227,10	189707,40	209986,00	215297,90	203295,50	201265,70	
Greece	136512,50	148217,00	162971,00	171410,00	181510,00	199276,00	213970,00	225648,00	239915,00	264775,00	301062,00	330570,00	356289,00	305094,00	320510,00	319718,00	311452,00	
Spain	362224,00	374557,00	378883,00	384145,00	382775,00	389888,00	393479,00	392168,00	383798,00	439771,00	568700,00	649259,00	743530,00	890726,00	966041,00	1033738,00	1072183,00	
France	847961,00	871226,00	898321,00	957814,00	1051413,00	1124580,00	1190887,00	1194378,00	1253114,00	1358398,00	1531770,00	1632744,00	1754684,00	1869677,50	1954538,50	2040459,50	2097102,50	
Italy	1285054,10	1302548,00	1360285,40	1371679,20	1397460,40	1449656,50	1518633,60	1588072,20	1605944,50	1671130,00	1769988,20	1851499,90	1907780,50	1989780,70	2069846,50	2136204,30	2171671,30	
Luxembourg	1414,90	1497,70	1638,10	1704,90	1793,70	2026,00	2222,70	2628,80	2867,10	5683,90	5814,00	7949,50	8073,10	9580,80	10859,70	11208,90	11173,50	
Netherlands	241323,00	230080,00	232073,00	238213,00	249821,00	259947,00	267038,00	257602,00	259884,00	348131,00	348864,00	372627,00	396421,00	428591,00	442197,00	452056,00	441664,00	
Austria	135123,30	140419,80	146328,40	150019,10	151286,30	156500,60	172841,70	178658,20	182983,80	200024,10	228165,80	242743,10	253673,00	258795,50	260882,00	277443,70	290716,30	
Portugal	61074,60	64640,50	72554,20	80133,60	85726,10	94454,10	106919,50	115002,20	120088,50	128191,40	146691,30	173062,50	196231,40	212529,20	219649,00	225766,90	231344,60	
Finland	55912,40	57926,20	59186,60	59661,00	64870,00	67697,00	65759,00	65894,00	63425,00	63254,00	75482,00	88160,00	95490,00	105788,00	112797,00	121783,00	130746,00	
Belgium	:	:	:	:	:	:	:	:	:	:	129,60	830,30	2585,60	7198,00	8599,80	8956,40	8547,00	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	648,00	5924,80	19879,50	55989,00	66935,20	69726,50	66698,40	
Ireland	:	:	:	:	:	:	:	:	:	:	0,00	347,40	347,40	347,40	347,40	347,40	347,40	
